Ticker;Sector;Industry;Category
MP;Basic Materials;Mining;Diversified Minerals
UUUU;Basic Materials;Mining;Non-Ferrous Metals
LAC;Basic Materials;Mining;Diversified Minerals
FCX;Basic Materials;Mining;Metal-Copper
AG;Basic Materials;Mining;Silver Mining
USAR;Basic Materials;Mining;Diversified Minerals
NAK;Basic Materials;Mining;Diversified Minerals
CRML;Basic Materials;Mining;Diversified Minerals
UAMY;Basic Materials;Mining;Non-Ferrous Metals
DNN;Basic Materials;Mining;Non-Ferrous Metals
B;Basic Materials;Mining;Gold Mining
TMC;Basic Materials;Mining;Metal-Diversified
VALE;Basic Materials;Iron/Steel;Metal-Iron
CLF;Basic Materials;Iron/Steel;Steel-Producers
UEC;Basic Materials;Mining;Non-Ferrous Metals
HL;Basic Materials;Mining;Precious Metals
TMQ;Basic Materials;Mining;Metal-Copper
ABAT;Basic Materials;Mining;Diversified Minerals
NEM;Basic Materials;Mining;Gold Mining
NB;Basic Materials;Mining;Diversified Minerals
DOW;Basic Materials;Chemicals;Chemicals-Diversified
NXE;Basic Materials;Mining;Non-Ferrous Metals
CCJ;Basic Materials;Mining;Non-Ferrous Metals
WWR;Basic Materials;Mining;Non-Ferrous Metals
AA;Basic Materials;Mining;Metal-Aluminum
BTG;Basic Materials;Mining;Gold Mining
EU;Basic Materials;Mining;Non-Ferrous Metals
PAAS;Basic Materials;Mining;Precious Metals
UROY;Basic Materials;Mining;Non-Ferrous Metals
ALB;Basic Materials;Chemicals;Chemicals-Specialty
CDE;Basic Materials;Mining;Precious Metals
PPTA;Basic Materials;Mining;Gold Mining
EXK;Basic Materials;Mining;Silver Mining
KGC;Basic Materials;Mining;Gold Mining
SBSW;Basic Materials;Mining;Platinum
SLI;Basic Materials;Mining;Diversified Minerals
EQX;Basic Materials;Mining;Gold Mining
OMEX;Basic Materials;Mining;Diversified Minerals
AEM;Basic Materials;Mining;Gold Mining
ERO;Basic Materials;Mining;Metal-Copper
CART;Communications;Internet;E-Commerce/Services
RUM;Communications;Internet;Internet Content-Info/Ne
W;Communications;Internet;E-Commerce/Products
SIRI;Communications;Media;Cable/Satellite TV
